2026-03-18 22:20:47,140 - INFO - BadUSB detected | Risk: 7 | Device: AT Translated Set 2 keyboard
2026-03-18 22:20:57,285 - INFO - BadUSB detected | Risk: 26 | Device: ydotoold virtual device
2026-03-18 22:20:58,392 - INFO - BadUSB detected | Risk: 26 | Device: ydotoold virtual device
2026-03-18 22:21:00,124 - INFO - BadUSB detected | Risk: 12 | Device: ydotoold virtual device
2026-03-18 22:21:01,257 - INFO - BadUSB detected | Risk: 14 | Device: ydotoold virtual device
2026-03-18 22:21:02,939 - INFO - BadUSB detected | Risk: 12 | Device: ydotoold virtual device
2026-03-18 22:21:04,090 - INFO - BadUSB detected | Risk: 14 | Device: ydotoold virtual device
2026-03-18 22:21:05,835 - INFO - BadUSB detected | Risk: 12 | Device: ydotoold virtual device
2026-03-18 22:21:07,048 - INFO - BadUSB detected | Risk: 16 | Device: ydotoold virtual device
2026-03-18 23:09:34,570 - INFO - BadUSB detected | Risk: 16 | Device: ydotoold virtual device
2026-03-18 23:09:36,768 - INFO - BadUSB detected | Risk: 14 | Device: ydotoold virtual device
2026-03-18 23:11:47,122 - INFO - BadUSB detected | Risk: 16 | Device: ydotoold virtual device
2026-03-18 23:18:11,890 - INFO - BadUSB detected | Risk: 7 | Device: AT Translated Set 2 keyboard
2026-03-18 23:18:12,962 - INFO - BadUSB detected | Risk: 6 | Device: AT Translated Set 2 keyboard
2026-03-18 23:18:35,308 - INFO - BadUSB detected | Risk: 26 | Device: ydotoold virtual device
2026-03-18 23:18:36,416 - INFO - BadUSB detected | Risk: 26 | Device: ydotoold virtual device
2026-03-18 23:18:38,158 - INFO - BadUSB detected | Risk: 12 | Device: ydotoold virtual device
2026-03-18 23:18:39,268 - INFO - BadUSB detected | Risk: 14 | Device: ydotoold virtual device
2026-03-18 23:18:41,021 - INFO - BadUSB detected | Risk: 12 | Device: ydotoold virtual device
2026-03-18 23:18:42,099 - INFO - BadUSB detected | Risk: 14 | Device: ydotoold virtual device
2026-03-18 23:18:43,870 - INFO - BadUSB detected | Risk: 12 | Device: ydotoold virtual device
2026-03-18 23:18:45,094 - INFO - BadUSB detected | Risk: 16 | Device: ydotoold virtual device
2026-03-18 23:19:06,223 - INFO - BadUSB detected | Risk: 14 | Device: ydotoold virtual device
2026-03-18 23:19:10,008 - INFO - BadUSB detected | Risk: 14 | Device: ydotoold virtual device
2026-03-19 09:43:59,119 - INFO - BadUSB detected | Risk: 26 | Device: ydotoold virtual device
2026-03-19 09:44:00,238 - INFO - BadUSB detected | Risk: 26 | Device: ydotoold virtual device
2026-03-19 09:44:02,012 - INFO - BadUSB detected | Risk: 12 | Device: ydotoold virtual device
2026-03-19 09:44:03,106 - INFO - BadUSB detected | Risk: 14 | Device: ydotoold virtual device
2026-03-19 09:44:04,743 - INFO - BadUSB detected | Risk: 12 | Device: ydotoold virtual device
2026-03-19 09:44:05,967 - INFO - BadUSB detected | Risk: 14 | Device: ydotoold virtual device
2026-03-19 09:44:07,758 - INFO - BadUSB detected | Risk: 12 | Device: ydotoold virtual device
2026-03-19 09:44:09,007 - INFO - BadUSB detected | Risk: 16 | Device: ydotoold virtual device
2026-03-19 11:39:36,654 - INFO - BadUSB detected | Risk: 26 | Device: ydotoold virtual device
2026-03-19 11:39:37,765 - INFO - BadUSB detected | Risk: 26 | Device: ydotoold virtual device
2026-03-19 11:39:39,475 - INFO - BadUSB detected | Risk: 12 | Device: ydotoold virtual device
2026-03-19 11:39:40,637 - INFO - BadUSB detected | Risk: 14 | Device: ydotoold virtual device
2026-03-19 11:39:42,357 - INFO - BadUSB detected | Risk: 12 | Device: ydotoold virtual device
2026-03-19 11:39:43,477 - INFO - BadUSB detected | Risk: 14 | Device: ydotoold virtual device
2026-03-19 11:39:45,248 - INFO - BadUSB detected | Risk: 12 | Device: ydotoold virtual device
2026-03-19 11:39:46,470 - INFO - BadUSB detected | Risk: 16 | Device: ydotoold virtual device
2026-03-19 11:40:34,498 - INFO - BadUSB detected | Risk: 16 | Device: ydotoold virtual device
2026-03-19 11:40:44,782 - INFO - BadUSB detected | Risk: 16 | Device: ydotoold virtual device
2026-03-19 11:41:05,161 - INFO - BadUSB detected | Risk: 26 | Device: ydotoold virtual device
2026-03-19 11:41:06,182 - INFO - BadUSB detected | Risk: 26 | Device: ydotoold virtual device
2026-03-19 11:41:07,983 - INFO - BadUSB detected | Risk: 12 | Device: ydotoold virtual device
2026-03-19 11:41:09,037 - INFO - BadUSB detected | Risk: 14 | Device: ydotoold virtual device
2026-03-19 11:41:10,779 - INFO - BadUSB detected | Risk: 12 | Device: ydotoold virtual device
2026-03-19 11:41:11,889 - INFO - BadUSB detected | Risk: 14 | Device: ydotoold virtual device
2026-03-19 11:41:13,700 - INFO - BadUSB detected | Risk: 12 | Device: ydotoold virtual device
2026-03-19 11:41:14,863 - INFO - BadUSB detected | Risk: 16 | Device: ydotoold virtual device
2026-03-19 13:40:21,573 - INFO - BadUSB detected | Risk: 26 | Device: ydotoold virtual device
2026-03-19 13:40:22,674 - INFO - BadUSB detected | Risk: 26 | Device: ydotoold virtual device
2026-03-19 13:40:24,475 - INFO - BadUSB detected | Risk: 12 | Device: ydotoold virtual device
2026-03-19 13:40:25,542 - INFO - BadUSB detected | Risk: 14 | Device: ydotoold virtual device
2026-03-19 13:40:27,306 - INFO - BadUSB detected | Risk: 12 | Device: ydotoold virtual device
2026-03-19 13:40:28,453 - INFO - BadUSB detected | Risk: 14 | Device: ydotoold virtual device
2026-03-19 13:40:30,201 - INFO - BadUSB detected | Risk: 12 | Device: ydotoold virtual device
2026-03-19 13:40:31,408 - INFO - BadUSB detected | Risk: 16 | Device: ydotoold virtual device
